epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.9099,0.61871,1.99745,1.13645,0.73999,0.77821,0.85004,0.71312,0.58907,1.0636,1.09621,0.000330808,0.000330808,0.000330808
2,70.6238,0.69611,1.05828,1.17076,0.64763,0.65902,0.71169,0.52263,0.85103,1.32155,1.32136,0.000650991,0.000650991,0.000650991
3,105.04,0.74652,1.04782,1.20206,0.66946,0.67693,0.71805,0.49336,0.96786,1.3891,1.41195,0.000957975,0.000957975,0.000957975
4,139.494,0.74638,0.9817,1.19255,0.74878,0.74871,0.84252,0.68516,0.73801,0.94706,1.21636,0.0009406,0.0009406,0.0009406
5,173.779,0.6929,0.90352,1.16382,0.82062,0.78385,0.8607,0.6917,0.70619,0.84341,1.17216,0.0009208,0.0009208,0.0009208
6,208.405,0.67924,0.85097,1.14655,0.86438,0.82267,0.90468,0.7549,0.63028,0.7118,1.13079,0.000901,0.000901,0.000901
7,242.907,0.64999,0.78177,1.13934,0.90743,0.83525,0.92496,0.77543,0.60097,0.63031,1.08314,0.0008812,0.0008812,0.0008812
8,275.88,0.64431,0.7451,1.12886,0.92258,0.857,0.93284,0.78591,0.61188,0.57283,1.10517,0.0008614,0.0008614,0.0008614
9,307.877,0.63073,0.71612,1.11813,0.89564,0.86894,0.92447,0.79189,0.61087,0.58711,1.10061,0.0008416,0.0008416,0.0008416
10,339.339,0.59365,0.68037,1.09853,0.89745,0.82917,0.91786,0.79865,0.53026,0.56569,1.0548,0.0008218,0.0008218,0.0008218
11,371.14,0.56686,0.64627,1.07695,0.89645,0.85944,0.93257,0.80872,0.5267,0.5544,1.03211,0.000802,0.000802,0.000802
12,404.298,0.56347,0.62111,1.0837,0.94542,0.87683,0.9523,0.83243,0.5247,0.49129,1.02813,0.0007822,0.0007822,0.0007822
13,437.783,0.53946,0.59596,1.05978,0.90846,0.85331,0.94048,0.82756,0.50057,0.5213,0.99818,0.0007624,0.0007624,0.0007624
14,473.422,0.54208,0.59811,1.06488,0.92125,0.88373,0.95845,0.84787,0.48029,0.45702,0.98877,0.0007426,0.0007426,0.0007426
15,510.137,0.52557,0.55645,1.05754,0.95047,0.86901,0.96112,0.8574,0.48894,0.45101,0.98692,0.0007228,0.0007228,0.0007228
16,548.58,0.51988,0.55867,1.05604,0.92906,0.89163,0.95469,0.84346,0.51015,0.44068,1.0026,0.000703,0.000703,0.000703
17,587.391,0.51026,0.52872,1.04374,0.90346,0.91354,0.95612,0.85331,0.47268,0.41968,0.97762,0.0006832,0.0006832,0.0006832
18,627.649,0.50736,0.52207,1.04018,0.92797,0.8853,0.95544,0.85288,0.461,0.4446,0.9677,0.0006634,0.0006634,0.0006634
19,667.92,0.4978,0.50945,1.04421,0.95392,0.89915,0.96305,0.86719,0.43795,0.3876,0.95136,0.0006436,0.0006436,0.0006436
20,707.581,0.48507,0.47785,1.03194,0.94846,0.91368,0.96316,0.866,0.44804,0.37148,0.96633,0.0006238,0.0006238,0.0006238
21,747.657,0.4705,0.46875,1.02181,0.94283,0.90434,0.96172,0.87094,0.4412,0.38693,0.95421,0.000604,0.000604,0.000604
22,787.946,0.46318,0.45323,1.01678,0.94189,0.91887,0.96571,0.88134,0.42309,0.38174,0.94025,0.0005842,0.0005842,0.0005842
23,828.462,0.4651,0.44848,1.01819,0.92422,0.92105,0.96401,0.86917,0.43883,0.3836,0.95391,0.0005644,0.0005644,0.0005644
24,869.161,0.46639,0.44959,1.01967,0.95268,0.91831,0.97266,0.88352,0.42781,0.34563,0.95191,0.0005446,0.0005446,0.0005446
25,909.796,0.44715,0.42185,1.01144,0.94905,0.9124,0.96695,0.88496,0.4133,0.3783,0.93818,0.0005248,0.0005248,0.0005248
26,950.367,0.44073,0.43477,1.00439,0.95033,0.91358,0.96348,0.87627,0.40883,0.37682,0.92966,0.000505,0.000505,0.000505
27,991.204,0.43309,0.42557,1.00043,0.94545,0.91616,0.96571,0.87976,0.41323,0.35964,0.93891,0.0004852,0.0004852,0.0004852
28,1031.66,0.4298,0.40434,1.00357,0.95031,0.91048,0.965,0.8879,0.40252,0.36133,0.92193,0.0004654,0.0004654,0.0004654
29,1072.48,0.42094,0.39708,0.99437,0.94583,0.93393,0.97383,0.90296,0.39373,0.32596,0.91246,0.0004456,0.0004456,0.0004456
30,1113.27,0.41516,0.38814,0.99205,0.96565,0.92231,0.97395,0.88733,0.41944,0.32882,0.94132,0.0004258,0.0004258,0.0004258
31,1154.48,0.4051,0.37865,0.98892,0.95725,0.91988,0.9728,0.89494,0.39325,0.32485,0.91734,0.000406,0.000406,0.000406
32,1195.46,0.41401,0.37318,0.99458,0.96251,0.91808,0.97121,0.89418,0.38727,0.33057,0.91357,0.0003862,0.0003862,0.0003862
33,1236.66,0.39202,0.36786,0.98206,0.96843,0.93706,0.97502,0.90398,0.37589,0.3106,0.89597,0.0003664,0.0003664,0.0003664
34,1278.76,0.39254,0.35038,0.97582,0.95094,0.93769,0.97492,0.89978,0.3836,0.30937,0.91438,0.0003466,0.0003466,0.0003466
35,1320.1,0.38458,0.33736,0.97348,0.97637,0.91717,0.97623,0.90964,0.37468,0.30299,0.90404,0.0003268,0.0003268,0.0003268
36,1361.7,0.38298,0.34579,0.96937,0.95442,0.92943,0.97009,0.90489,0.36948,0.3238,0.89714,0.000307,0.000307,0.000307
