epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,1403.01,0.37546,0.32724,0.96834,0.96937,0.92723,0.97189,0.90772,0.36566,0.3036,0.89438,0.0002872,0.0002872,0.0002872
38,1444.23,0.37299,0.32676,0.9662,0.97614,0.9055,0.97343,0.90913,0.37076,0.3171,0.89687,0.0002674,0.0002674,0.0002674
39,1485.71,0.37697,0.33033,0.96976,0.95697,0.93076,0.97465,0.90738,0.36501,0.30731,0.90375,0.0002476,0.0002476,0.0002476
40,1527.26,0.362,0.322,0.96557,0.96031,0.92257,0.9728,0.91068,0.3577,0.30384,0.89228,0.0002278,0.0002278,0.0002278
41,1594.48,0.27791,0.24916,0.89281,0.96851,0.93286,0.97644,0.91106,0.36092,0.29946,0.90106,0.000208,0.000208,0.000208
42,1633.5,0.26646,0.2246,0.88027,0.96496,0.9242,0.97337,0.91448,0.34629,0.29894,0.88579,0.0001882,0.0001882,0.0001882
43,1673.54,0.25998,0.2146,0.88319,0.96304,0.91573,0.97304,0.90972,0.35622,0.30468,0.88756,0.0001684,0.0001684,0.0001684
44,1713.25,0.25814,0.20863,0.87934,0.9643,0.9232,0.97709,0.91421,0.35764,0.29998,0.88879,0.0001486,0.0001486,0.0001486
45,1752.98,0.24607,0.20163,0.86838,0.97305,0.92885,0.97766,0.91882,0.33774,0.27794,0.88226,0.0001288,0.0001288,0.0001288
46,1793.23,0.24096,0.19147,0.86008,0.9767,0.92219,0.97363,0.91703,0.33355,0.2802,0.87786,0.000109,0.000109,0.000109
47,1832.99,0.23528,0.18461,0.85964,0.97372,0.9381,0.97951,0.92072,0.33511,0.27026,0.88528,8.92e-05,8.92e-05,8.92e-05
48,1872.79,0.22428,0.17471,0.8549,0.98239,0.9253,0.97838,0.92108,0.33239,0.26531,0.8819,6.94e-05,6.94e-05,6.94e-05
49,1912.85,0.22617,0.1756,0.86023,0.96299,0.94046,0.97838,0.92051,0.32787,0.26929,0.87551,4.96e-05,4.96e-05,4.96e-05
50,1953.25,0.21954,0.17312,0.84883,0.96831,0.93864,0.97881,0.92423,0.32537,0.26105,0.87798,2.98e-05,2.98e-05,2.98e-05
